city,companyName,eduLevel,jobName,recruieCount,salary,workingExp
北京,美利金融,本科,高级数据分析师,招1人,1万-2万,3-5年
北京,阳光保险集团股份有限公司,硕士,机器学习算法工程师,招1人,面议,经验不限
北京,互联网域名系统北京市工程研究中心有限公司,本科,技术支持工程师,招1人,1万-1.5万,3-5年
北京,北京新联财通咨询有限公司,本科,数据采集工程师,招2人,1万-1.5万,无经验
北京,北京八维研修学院,硕士,机器学习算法讲师,招2人,2万-4万,1-3年
北京,珺馨科技有限公司,本科,少儿编程课程设计老师,招3人,4千-6千,无经验
北京,中电积至(海南)信息技术有限公司北京分公司,本科,C/C++研发工程师(LINUX),招5人,8千-1.6万,1-3年
北京,北京悦优博迈科技有限公司,本科,数据分析师,招1人,1.5万-2.5万,经验不限
北京,畅捷通信息技术股份有限公司,本科,应用运维工程师,招1人,1.8万-3.3万,5-10年
北京,北京辰安科技股份有限公司,本科,GIS数据工程师(001656),招1人,9千-1.4万,1-3年
北京,北京米文动力科技有限公司,本科,Linux 开发工程师,招1人,2万-2.5万,3-5年
北京,北京跃科人才服务有限公司,本科,高级算法工程师 - 路径规划及控制,招1人,3万-5万,3-5年
北京,联通支付有限公司,本科,大数据开发工程师,招1人,面议,3-5年
北京,北京悦优博迈科技有限公司,本科,数据挖掘工程师,招2人,1万-2万,经验不限
北京,北京世熙传媒文化有限公司,本科,新媒体高级运维工程师（急聘）,招1人,1万-1.5万,3-5年
北京,北京辰安科技股份有限公司,本科,数据工程师(001645),招1人,8千-1.5万,3-5年
北京,博奥生物集团有限公司,博士,生物信息研究科学家,招1人,1.5万-2.5万,经验不限
北京,北京互动百科网络技术股份有限公司,本科,java架构师,招1人,2.5万-4万,5-10年
北京,网云易通(北京)科技有限公司,大专,大数据平台运维工程师,招1人,1万-1.5万,1-3年
北京,南京高泰科技有限公司,本科,运维开发工程师,招1人,1.2万-2.2万,3-5年
北京,互联网域名系统北京市工程研究中心有限公司,大专,系统工程师,招1人,1万-1.5万,3-5年
北京,北京智教未来科技有限公司,本科,智能机器人研发工程师,招5人,1.2万-1.8万,3-5年
北京,万方数据股份有限公司,本科,测试工程师-000842,招1人,1万-1.8万,1-3年
北京,北京微聚合信息技术有限公司,大专,Linux NodeJS 高级工程师,招1人,1.5万-2.5万,3-5年
北京,包头市包银消费金融股份有限公司,本科,风险策略岗(J10175),招1人,1.5万-3万,3-5年
北京,北京果壳生物科技有限公司,本科,生物信息工程师,招5人,5千-1万,1-3年
北京,新晨科技股份有限公司,本科,运维工程师（邮储）,招3人,8千-1万,1-3年
北京,北京悦优博迈科技有限公司,本科,机器学习开发工程师,招2人,1.3万-2.5万,1-3年
北京,北京奥德塔数据科技有限公司,本科,NLP算法工程师,招1人,8千-1万,1-3年
北京,互联网域名系统北京市工程研究中心有限公司,本科,c/c++开发工程师,招1人,1.5万-2.5万,1-3年
北京,南京高泰科技有限公司,本科,自动化运维工程师,招1人,1.5万-2.2万,3-5年
北京,北京天眼查科技有限公司,本科,Web前端工程师,招999人,1.5万-2.5万,经验不限
北京,北京爱赋能科技有限公司,本科,软件开发工程师,招1人,6千-8千,1-3年
北京,博奥生物集团有限公司,硕士,生物信息分析师（健康科学研究院）,招1人,1万-1.5万,1年以下
北京,叠云(北京)科技股份有限公司,本科,研发主管,招1人,1.5万-2.5万,5-10年
北京,北京轻松筹网络科技有限公司,本科,数据分析师-JS,招1人,1.5万-3万,3-5年
北京,网云易通(北京)科技有限公司,大专,Hadoop平台维护工程师,招1人,7千-1.4万,1-3年
北京,启迪国信科技有限公司,本科,资深Android开发工程师(001131),招2人,2万-3万,5-10年
北京,北京普盛食品销售有限公司,大专,销售运营专员/销售支持,招1人,5千-1万,1-3年
北京,北京望远传媒有限公司,本科,DMP高级开发工程师,招1人,1.8万-2.5万,3-5年
北京,北京东联世纪科技股份有限公司,本科,系统工程师,招1人,1万-1.5万,3-5年
北京,上海睿民互联网科技有限公司,本科,WEB前端工程师,招3人,6千-1万,1-3年
北京,博奥生物集团有限公司,硕士,人工智能实习生,招2人,4千-6千,经验不限
北京,北京七天德汇教育科技有限公司,硕士,深度学习研究员,招10人,2.5万-5万,3-5年
北京,北京人合创咨询有限公司,大专,猎头顾问,招10人,5千-1万,1-3年
北京,易宝支付有限公司,本科,高级Java开发,招3人,1.3万-2.6万,5-10年
北京,光合新知(北京)科技有限公司,本科,人工智能总监,招1人,5万-7万,5-10年
北京,南京高泰科技有限公司,本科,OpenStack运维工程师,招1人,1万-2万,3-5年
北京,北京智飞坤舆科技有限公司,本科,策略分析专家,招1人,1.5万-3万,1-3年
北京,博奥生物集团有限公司,硕士,人工智能工程师,招1人,1万-1.5万,经验不限
北京,寰宇优才教育科技(北京)有限公司,大专,软件工程师,招16人,8千-1万,经验不限
北京,北京爱狄特信息科技有限公司,本科,Javascript前端工程师,招2人,1.2万-2.4万,3-5年
北京,畅捷通信息技术股份有限公司,本科,运维开发工程师,招1人,1.8万-3.3万,5-10年
北京,南京高泰科技有限公司,本科,devops运维工程师,招1人,1.5万-2万,3-5年
北京,北京天眼查科技有限公司,本科,数据分析专员,招1人,8千-1万,经验不限
北京,南京高泰科技有限公司,本科,Ceph运维工程师（中级）,招1人,1.2万-1.5万,3-5年
北京,北京轻松筹网络科技有限公司,本科,算法工程师-JS,招1人,1.8万-3.6万,3-5年
北京,江苏传智播客教育科技股份有限公司北京分公司,本科,前端研发工程师(J11871),招1人,1.5万-2万,3-5年
