area,city,companyName,eduLevel,jobName,recruieCount,salary,welfare,workingExp
未知,太原,山西金源天胜工贸有限公司,学历不限,PHP工程师,招5人,4千-6千,"周末双休,全勤奖,通讯补助,交通补助,加班补助,绩效奖金",1-3年
未知,太原,海纳通讯技术有限公司,本科,运维工程师,招3人,6千-8千,"五险一金,绩效奖金,餐补",1-3年
未知,太原,广西巴巴去哪电子商务有限公司,本科,诚聘英文翻译文书撰稿人,招15人,5千-1万,弹性工作,经验不限
未知,太原,北京远鉴科技股份有限公司,本科,linux运维工程师,招2人,4千-8千,"周末双休,五险一金,年底双薪,交通补助,定期体检,员工旅游,节日福利,带薪年假",1-3年
未知,太原,北京华云天下科技有限公司,大专,算法工程师,招2人,0.9万-1.9万,"五险一金,节日福利,带薪年假,绩效奖金,每年多次调薪",1-3年
未知,太原,山西大昌网约车服务有限公司,大专,数据运营,招2人,6千-8千,"五险一金,餐补",1-3年
未知,太原,山西四维慧通科技有限公司,本科,大数据开发工程师,招2人,4千-8千,"创业公司,绩效奖金,周末双休,五险一金,加班补助",1-3年
杏花岭区,太原,山西新和健身器材有限公司,硕士,算法工程师（动作识别方向）,招1人,6千-1万,"五险一金,绩效奖金,包住,交通补助,通讯补助,定期体检,员工旅游,节日福利",经验不限
未知,太原,山西清众科技股份有限公司,本科,高级软件研发工程师（五险+双休+绩效）,招4人,6千-1万,"五险一金,绩效奖金,节日福利,带薪年假,周末双休,股票期权,年底双薪,餐补",1-3年
未知,太原,海纳通讯技术有限公司,本科,测试工程师,招1人,6千-8千,"五险一金,绩效奖金,餐补,交通补助",1-3年
未知,太原,康惠中天(北京)科技有限公司山西分公司,本科,运维工程师,招1人,4千-6千,"五险一金,绩效奖金,年终分红,交通补助,餐补,带薪年假,周末双休,通讯补助",1-3年
未知,太原,山西安洽科技有限责任公司,本科,Web安全工程师,招3人,8千-1万,"五险一金,绩效奖金,加班补助,全勤奖,交通补助,带薪年假,弹性工作,节日福利",1-3年
未知,太原,天津华夏通运科技有限公司,大专,服务器运维工程师,招10人,4千-6千,"五险一金,绩效奖金,加班补助,交通补助,通讯补助,弹性工作,每年多次调薪",经验不限
未知,太原,北京教书匠教育咨询有限公司,学历不限,iOS开发工程师（高薪有前途-太原）,招4人,8千-1.5万,"五险一金,年底双薪,员工旅游,带团队,带薪年假,绩效奖金,每年多次调薪,公司重点项目",3-5年
小店区,太原,北京深瞐科技有限公司,大专,售后技术支持（太原）,招1人,4千-7千,"五险一金,周末双休,交通补助,餐补,通讯补助,节日福利,弹性工作,定期体检",1-3年
未知,太原,中青才智教育投资(北京)有限公司,大专,java初级开发工程师,招22人,6千-1.2万,"五险一金,年底双薪,加班补助,全勤奖,房补,带薪年假,员工旅游",经验不限
未知,太原,山西赛文思达科技有限公司,本科,数据工程师,招2人,7千-8千,"绩效奖金,项目奖金,社保",3-5年
未知,太原,北京百知教育科技有限公司,大专,JAVA+AI软件工程师实习生,招22人,7千-1.4万,"14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补",经验不限
小店区,太原,库壳教育科技有限公司,本科,乐高老师（无责3000+五险一金+课时费）,招10人,4千-6千,"五险一金,绩效奖金,节日福利,全勤奖,每年多次调薪,定期团建,公司重点项目,加班补助",经验不限
未知,太原,山西众智天衍教育科技有限公司,本科,少儿编程讲师,招5人,6千-8千,"五险一金,节日福利,绩效奖金,周末双休,不加班,包吃,定期团建",经验不限
迎泽区,太原,北京尚学堂科技有限公司,大专,Java助教4K+五险一金+包住,招10人,4千-6千,"五险一金,包住,弹性工作,全勤奖,不加班,节日福利,定期团建,带薪年假",经验不限
未知,太原,山西极控科技有限公司,学历不限,软件工程师,招2人,6千-8千,"绩效奖金,包吃,包住,弹性工作,创业公司,五险一金,加班补助,全勤奖",经验不限
未知,太原,山西硬汉网络科技有限公司,本科,python工程师,招1人,6千-8千,"每年多次调薪,五险一金,绩效奖金,年终分红,全勤奖,带薪年假,员工旅游,节日福利",1-3年
未知,太原,山西林瑞企业管理咨询有限公司,本科,期货程序员,招1人,6千-8千,"全勤奖,不加班,员工旅游,节日福利,每年多次调薪,周末双休,绩效奖金",3-5年
未知,太原,山西智游臻龙互联网科技有限公司,大专,网络爬虫工程师(Python)带薪,招5人,6千-8千,"每年多次调薪,年终分红,绩效奖金,带薪年假,弹性工作,员工旅游,节日福利,交通补助",经验不限
未知,太原,太原达内科技有限公司,大专,急聘python项目经理+上市公司,招3人,4千-6千,"五险一金,绩效奖金,股票期权,带薪年假,节日福利,餐补,加班补助",1-3年
未知,太原,山西华瑞鑫环保科技有限公司,大专,python爬虫工程师,招1人,4千-6千,"五险一金,节日福利,员工旅游,采暖补贴,周末双休,餐补,全勤奖,绩效奖金",1-3年
迎泽区,太原,北京尚学堂科技有限公司,大专,Python/web助教+五险一金+包住宿,招10人,4千-6千,"五险一金,包住,弹性工作,全勤奖,不加班,节日福利,定期团建,带薪年假",1年以下
未知,太原,太原龙为电子科技有限公司,大专,python开发工程师,招2人,4千-8千,"五险一金,餐补,补充医疗保险,通讯补助,员工旅游,带薪年假,交通补助,绩效奖金",1-3年
未知,太原,山西优逸客科技有限公司,本科,python,招1人,6千-8千,"每年多次调薪,五险一金,绩效奖金,年终分红,全勤奖,带薪年假,员工旅游,节日福利",1-3年
未知,太原,中公教育山西分公司,本科,IT培训讲师（Python）,招10人,8千-1万,"每年多次调薪,五险一金,年底双薪,绩效奖金,股票期权,带薪年假,定期体检,周末双休",经验不限
未知,太原,北京百知教育科技有限公司,大专,Python（AI）开发实习生,招22人,6千-1.2万,"14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补",经验不限
未知,太原,中青才智教育投资(北京)有限公司,大专,Python（人工智能方向）开发实习生,招22人,8千-1.6万,"五险一金,年底双薪,加班补助,全勤奖,房补,带薪年假,员工旅游",经验不限
